"","bags","to_bag_num","to_bag"
"70","bright maroon","4","shiny beige"
"71","muted maroon","3","striped bronze"
"72","muted maroon","4","clear gold"
"73","muted maroon","1","light red"
"74","plaid purple","1","faded magenta"
"75","plaid purple","5","dotted turquoise"
"76","wavy chartreuse","2","clear purple"
"77","wavy chartreuse","2","drab green"
"78","wavy chartreuse","3","wavy maroon"
"79","posh indigo","3","striped crimson"
"80","posh indigo","5","mirrored maroon"
"81","posh indigo","1","mirrored crimson"
"82","posh indigo","2","drab orange"
"83","drab black","1","drab plum"
"84","striped gray","5","shiny teal"
"85","striped gray","2","vibrant magenta"
"86","light yellow","4","clear black"
"87","light yellow","2","dim olive"
"88","light yellow","5","wavy lavender"
"89","light yellow","2","pale chartreuse"
"90","faded tomato","3","dark aqua"
"91","faded tomato","3","pale turquoise"
"92","faded tomato","4","pale purple"
"93","faded tomato","3","posh plum"
"94","posh crimson","1","drab green"
"95","posh crimson","3","dim aqua"
"96","muted tomato","1","dim orange"
"97","bright indigo","1","posh brown"
"98","dotted silver","4","vibrant teal"
"99","dotted silver","3","wavy violet"
"100","dotted silver","4","dark black"
"101","dotted silver","3","dotted orange"
"102","dark fuchsia","3","vibrant salmon"
"103","dark fuchsia","3","dotted gray"
"104","dark fuchsia","2","dull chartreuse"
"105","dull indigo","5","dark gold"
"106","dull indigo","1","light crimson"
"107","dull indigo","2","light bronze"
"108","dull indigo","5","vibrant chartreuse"
"109","light gold","1","plaid indigo"
"110","light gold","1","mirrored crimson"
"111","light gold","1","dull indigo"
"112","dark cyan","2","dull brown"
"113","dark cyan","5","bright fuchsia"
"114","dark cyan","3","striped purple"
"115","posh chartreuse","1","light gray"
"116","posh chartreuse","5","wavy tomato"
"117","bright gold","1","clear teal"
"118","bright gold","1","dim purple"
"119","bright gold","5","striped bronze"
"120","striped magenta","5","vibrant chartreuse"
"121","striped magenta","3","wavy olive"
"122","striped magenta","5","mirrored orange"
"123","mirrored gold","2","striped fuchsia"
"124","mirrored gold","5","wavy yellow"
"125","mirrored gold","5","dull lime"
"126","dark chartreuse","0","no other"
"127","dim bronze","3","dim coral"
"128","dim bronze","1","light plum"
"129","dim bronze","1","posh orange"
"130","dim coral","3","shiny teal"
"131","dim coral","5","plaid bronze"
"132","dim coral","1","vibrant magenta"
"133","dim coral","5","faded yellow"
"134","bright lavender","4","bright indigo"
"135","bright lavender","4","faded yellow"
"136","bright lavender","5","posh black"
"137","posh cyan","1","dotted violet"
"138","posh cyan","1","shiny violet"
"139","posh cyan","2","dull chartreuse"
"140","posh cyan","2","wavy turquoise"
"141","wavy lavender","2","dim fuchsia"
"142","wavy lavender","1","dotted red"
"143","wavy lavender","5","clear maroon"
"144","wavy lavender","1","dull lime"
"145","vibrant salmon","4","posh indigo"
"146","vibrant salmon","2","faded tomato"
"147","clear gray","5","dim olive"
"148","clear gray","1","striped turquoise"
"149","clear gray","4","striped tan"
"150","clear gray","4","plaid lime"
"151","bright cyan","1","pale turquoise"
"152","bright cyan","4","vibrant white"
"153","bright cyan","4","muted gray"
"154","bright cyan","2","clear orange"
"155","posh purple","1","striped tan"
"156","posh purple","1","dim aqua"
"157","posh purple","4","light bronze"
"158","posh purple","1","bright chartreuse"
"159","dim yellow","1","posh lavender"
"160","dim blue","4","light indigo"
"161","dim blue","5","shiny fuchsia"
"162","dim blue","5","drab fuchsia"
"163","dim blue","5","dark purple"
"164","wavy cyan","3","clear beige"
"165","wavy cyan","4","striped blue"
"166","wavy cyan","2","faded coral"
"167","mirrored orange","5","dark bronze"
"168","mirrored orange","3","striped blue"
"169","mirrored orange","2","posh orange"
"170","muted orange","5","dotted violet"
"171","muted orange","5","bright violet"
"172","muted orange","2","vibrant salmon"
"173","vibrant coral","5","bright cyan"
"174","vibrant coral","5","shiny indigo"
"175","vibrant coral","2","bright bronze"
"176","bright gray","1","clear red"
"177","bright gray","5","dull orange"
"178","bright gray","4","bright cyan"
"179","muted bronze","4","dim lavender"
"180","shiny blue","2","dim chartreuse"
"181","shiny blue","3","muted beige"
"182","shiny blue","5","mirrored plum"
"183","posh bronze","3","dull purple"
"184","posh bronze","4","wavy magenta"
"185","faded magenta","5","clear tomato"
"186","faded magenta","5","dull plum"
"187","faded magenta","4","light red"
"188","posh tan","3","clear olive"
"189","posh tan","4","clear lavender"
"190","muted teal","1","striped magenta"
"191","dull brown","2","drab black"
"192","dull brown","3","striped bronze"
"193","shiny white","3","faded blue"
"194","shiny white","3","dotted salmon"
"195","shiny white","2","drab black"
"196","wavy red","4","vibrant magenta"
"197","wavy red","3","muted green"
"198","wavy red","4","mirrored teal"
"199","dim silver","3","striped purple"
"200","dim silver","5","drab violet"
"201","dim silver","2","striped bronze"
"202","dim silver","3","wavy green"
"203","dull magenta","1","dim crimson"
"204","dull magenta","1","light aqua"
"205","dull plum","5","dim indigo"
"206","dull plum","2","dotted red"
"207","mirrored lime","3","bright tan"
"208","mirrored lime","3","bright orange"
"209","muted green","3","faded yellow"
"210","muted green","2","drab maroon"
"211","muted green","1","dark chartreuse"
"212","muted green","2","mirrored teal"
"213","clear crimson","4","posh fuchsia"
"214","clear crimson","2","dull aqua"
"215","clear crimson","3","faded tan"
"216","drab aqua","0","no other"
"217","dull chartreuse","4","dotted gray"
"218","dull chartreuse","2","dim red"
"219","dull chartreuse","3","dull yellow"
"220","posh aqua","5","striped orange"
"221","dark blue","2","dark gold"
"222","dark blue","2","faded yellow"
"223","posh red","2","mirrored brown"
"224","posh red","4","shiny orange"
"225","posh red","4","striped lavender"
"226","posh red","5","light turquoise"
"227","dim lime","1","muted turquoise"
"228","dim lime","2","posh gold"
"229","dim lime","2","dull violet"
"230","dim lime","3","dotted lavender"
"231","faded yellow","0","no other"
"232","dark red","2","posh beige"
"233","dark red","3","shiny tomato"
"234","dark red","3","light salmon"
"235","dull purple","3","bright red"
"236","dark violet","4","clear salmon"
"237","dark violet","2","dark gold"
"238","dark violet","1","dotted cyan"
"239","dark violet","3","dim purple"
"240","muted indigo","5","striped bronze"
"241","muted indigo","4","posh olive"
"242","muted indigo","5","striped purple"
"243","plaid crimson","1","bright violet"
"244","plaid crimson","3","bright red"
"245","plaid crimson","5","clear orange"
"246","plaid crimson","2","dark purple"
"247","muted silver","1","clear tomato"
"248","dull black","4","striped gold"
"249","faded red","1","posh indigo"
"250","faded red","2","striped crimson"
"251","faded red","3","muted indigo"
"252","muted lime","5","plaid lavender"
"253","muted lime","4","dim fuchsia"
"254","mirrored crimson","4","light bronze"
"255","mirrored crimson","1","wavy red"
"256","mirrored crimson","4","drab violet"
"257","mirrored crimson","4","faded white"
"258","posh gray","3","dim olive"
"259","posh violet","4","mirrored white"
"260","posh violet","4","dim indigo"
"261","plaid black","5","bright purple"
"262","vibrant indigo","3","mirrored blue"
"263","vibrant indigo","4","dim teal"
"264","vibrant indigo","2","dim beige"
"265","vibrant indigo","1","light black"
"266","mirrored beige","3","plaid tomato"
"267","mirrored beige","5","faded black"
"268","mirrored beige","3","vibrant aqua"
"269","mirrored beige","4","striped coral"
"270","pale turquoise","2","faded beige"
"271","striped tomato","5","dull indigo"
"272","striped tomato","2","dull plum"
"273","muted black","3","faded plum"
"274","muted black","5","vibrant tan"
"275","dark crimson","2","muted black"
"276","dark crimson","2","faded gray"
"277","dark turquoise","3","posh olive"
"278","dark turquoise","1","striped crimson"
"279","faded crimson","1","posh tomato"
"280","faded crimson","2","dotted tomato"
"281","faded crimson","1","shiny lime"
"282","mirrored yellow","2","wavy gold"
"283","dull silver","5","plaid blue"
"284","dull silver","4","faded green"
"285","pale salmon","1","clear fuchsia"
"286","pale salmon","3","muted white"
"287","pale salmon","4","pale violet"
"288","pale salmon","2","vibrant yellow"
"289","pale plum","3","faded green"
"290","shiny turquoise","4","shiny maroon"
"291","plaid magenta","5","posh salmon"
"292","plaid magenta","4","muted tan"
"293","plaid magenta","3","light silver"
"294","mirrored black","1","pale plum"
"295","mirrored black","5","wavy gold"
"296","mirrored black","1","mirrored magenta"
"297","mirrored black","4","clear lime"
"298","mirrored magenta","4","clear beige"
"299","mirrored magenta","2","plaid indigo"
"300","mirrored magenta","4","faded coral"
"301","mirrored magenta","2","clear tomato"
"302","striped lime","5","muted white"
"303","striped lime","4","faded tan"
"304","striped lime","1","dull plum"
"305","pale coral","2","posh coral"
"306","pale coral","2","mirrored turquoise"
"307","pale coral","4","clear yellow"
"308","pale coral","4","wavy teal"
"309","dotted gray","2","drab aqua"
"310","dotted gray","1","faded coral"
"311","dotted gray","3","clear black"
"312","faded tan","1","shiny salmon"
"313","faded tan","5","drab plum"
"314","faded tan","2","dotted lavender"
"315","faded tan","3","shiny yellow"
"316","dull aqua","2","faded black"
"317","dull aqua","5","bright indigo"
"318","dotted violet","2","posh green"
"319","dotted violet","3","plaid lime"
"320","faded aqua","3","clear gold"
"321","faded aqua","3","striped bronze"
"322","vibrant yellow","4","pale magenta"
"323","vibrant yellow","2","pale black"
"324","posh silver","3","shiny black"
"325","posh silver","2","dull purple"
"326","posh silver","1","light lime"
"327","posh silver","5","muted silver"
"328","vibrant purple","5","pale olive"
"329","vibrant purple","3","muted bronze"
"330","drab orange","4","dark aqua"
"331","drab orange","3","posh black"
"332","drab orange","4","shiny beige"
"333","clear green","1","dark lime"
"334","clear green","2","bright orange"
"335","clear green","2","mirrored maroon"
"336","clear green","3","dark bronze"
"337","dark tomato","2","drab yellow"
"338","clear blue","3","pale bronze"
"339","clear blue","3","drab aqua"
"340","clear blue","3","striped tan"
"341","clear blue","1","shiny tan"
"342","muted red","3","dark olive"
"343","muted red","3","faded teal"
"344","wavy olive","5","faded chartreuse"
"345","wavy olive","2","striped black"
"346","pale red","4","bright orange"
"347","pale red","5","drab orange"
"348","pale red","2","striped brown"
"349","pale red","2","striped bronze"
"350","dim brown","1","posh purple"
"351","dotted lavender","2","bright chartreuse"
"352","dotted lavender","2","pale gray"
"353","clear aqua","1","vibrant plum"
"354","clear aqua","5","dark plum"
"355","wavy fuchsia","1","pale purple"
"356","dim tomato","2","faded red"
"357","dim tomato","3","clear teal"
"358","dim tomato","4","striped chartreuse"
"359","dim tomato","4","shiny green"
"360","striped maroon","4","posh coral"
"361","bright yellow","4","dark tomato"
"362","bright yellow","3","pale gold"
"363","bright yellow","4","dark gold"
"364","bright yellow","5","shiny tomato"
"365","pale maroon","3","posh cyan"
"366","clear lime","4","faded coral"
"367","light violet","4","vibrant magenta"
"368","light violet","3","bright yellow"
"369","light violet","3","dull chartreuse"
"370","dotted maroon","5","mirrored salmon"
"371","dotted maroon","1","striped tomato"
"372","dotted maroon","5","dim coral"
"373","pale violet","1","dotted tan"
"374","pale violet","2","wavy white"
"375","clear salmon","0","no other"
"376","dotted tan","3","posh beige"
"377","dotted tan","4","bright chartreuse"
"378","dotted tan","5","posh fuchsia"
"379","dotted tan","2","pale gray"
"380","vibrant tan","4","dark plum"
"381","vibrant tan","3","clear teal"
"382","vibrant tan","2","faded yellow"
"383","vibrant tan","3","light chartreuse"
"384","pale lime","4","muted crimson"
"385","muted blue","2","light salmon"
"386","muted blue","1","bright aqua"
"387","plaid silver","5","striped magenta"
"388","plaid silver","2","dull chartreuse"
"389","clear gold","5","shiny gray"
"390","clear gold","2","vibrant white"
"391","dim salmon","3","striped olive"
"392","dim salmon","1","faded teal"
"393","dim salmon","3","posh gold"
"394","muted gold","5","shiny lavender"
"395","muted gold","5","bright orange"
"396","muted gold","3","dark lime"
"397","muted gold","2","dim blue"
"398","dotted orange","4","muted lavender"
"399","plaid yellow","2","posh green"
"400","plaid yellow","5","faded white"
"401","plaid yellow","5","plaid blue"
"402","posh yellow","2","shiny lime"
"403","posh yellow","2","mirrored cyan"
"404","wavy lime","3","vibrant plum"
"405","clear teal","3","mirrored blue"
"406","clear teal","3","posh maroon"
"407","clear teal","2","muted cyan"
"408","clear teal","2","drab aqua"
"409","faded maroon","1","dull magenta"
"410","faded maroon","3","dull green"
"411","faded maroon","3","muted coral"
"412","faded maroon","5","pale beige"
"413","drab salmon","5","faded tomato"
"414","drab salmon","3","clear green"
"415","pale orange","4","clear orange"
"416","pale orange","4","wavy fuchsia"
"417","pale orange","5","clear cyan"
"418","pale orange","5","dark red"
"419","clear indigo","1","shiny gold"
"420","clear indigo","2","light aqua"
"421","clear indigo","2","bright orange"
"422","faded gold","1","posh maroon"
"423","faded gold","3","faded indigo"
"424","faded gold","5","muted purple"
"425","faded gold","3","wavy tomato"
"426","drab cyan","1","wavy white"
"427","drab cyan","3","dotted turquoise"
"428","striped blue","3","shiny beige"
"429","vibrant black","3","bright blue"
"430","striped green","5","shiny orange"
"431","striped green","5","muted tomato"
"432","striped green","1","clear teal"
"433","posh maroon","1","striped purple"
"434","posh maroon","3","striped gray"
"435","posh maroon","1","dark chartreuse"
"436","posh maroon","5","vibrant magenta"
"437","dark beige","3","drab fuchsia"
"438","dark beige","2","mirrored cyan"
"439","dark beige","1","striped crimson"
"440","wavy crimson","1","mirrored aqua"
"441","striped gold","1","vibrant tomato"
"442","striped gold","5","faded aqua"
"443","striped gold","5","plaid salmon"
"444","striped gold","3","mirrored blue"
"445","dim plum","1","posh orange"
"446","dim plum","4","vibrant chartreuse"
"447","mirrored cyan","2","vibrant tomato"
"448","mirrored cyan","4","clear black"
"449","mirrored cyan","4","striped gold"
"450","plaid lavender","4","shiny lime"
"451","plaid lavender","4","pale gold"
"452","plaid lavender","3","posh teal"
"453","plaid lavender","1","dull lavender"
"454","wavy magenta","1","dim red"
"455","wavy bronze","4","shiny bronze"
"456","wavy bronze","1","drab turquoise"
"457","wavy bronze","5","muted tan"
"458","wavy bronze","2","dotted aqua"
"459","drab coral","3","dim lime"
"460","dull teal","1","vibrant aqua"
"461","dull teal","4","wavy lavender"
"462","dull teal","1","dark purple"
"463","dull teal","4","dark violet"
"464","faded beige","5","plaid indigo"
"465","faded beige","5","clear beige"
"466","faded beige","5","dull violet"
"467","mirrored gray","3","light bronze"
"468","dark green","1","dark violet"
"469","dark green","1","posh black"
"470","dark green","4","posh fuchsia"
"471","dark green","1","shiny olive"
"472","posh coral","1","striped purple"
"473","muted salmon","1","bright orange"
"474","mirrored teal","0","no other"
"475","dotted turquoise","5","dark tomato"
"476","dotted turquoise","1","plaid plum"
"477","dotted turquoise","2","wavy gold"
"478","wavy tan","3","dim cyan"
"479","wavy tan","2","dim maroon"
"480","light tomato","5","muted cyan"
"481","light tomato","2","dotted green"
"482","light tomato","4","dark aqua"
"483","mirrored green","5","light tomato"
"484","mirrored green","3","dim magenta"
"485","mirrored green","4","drab maroon"
"486","bright black","2","mirrored violet"
"487","bright black","3","dull brown"
"488","bright black","5","clear gray"
"489","bright black","3","dull chartreuse"
"490","bright silver","1","dotted brown"
"491","bright silver","4","vibrant yellow"
"492","pale black","5","drab magenta"
"493","pale black","5","vibrant magenta"
"494","wavy indigo","2","dotted green"
"495","wavy indigo","1","shiny orange"
"496","wavy indigo","1","dark lime"
"497","wavy indigo","1","mirrored blue"
"498","shiny fuchsia","1","muted lavender"
"499","shiny fuchsia","5","posh beige"
"500","shiny fuchsia","3","clear salmon"
"501","shiny fuchsia","3","posh brown"
"502","muted white","4","posh orange"
"503","muted white","4","clear orange"
"504","shiny lavender","3","wavy olive"
"505","shiny lavender","3","dull crimson"
"506","clear violet","5","shiny plum"
"507","striped purple","2","drab maroon"
"508","striped purple","2","vibrant magenta"
"509","striped purple","3","shiny teal"
"510","clear tomato","3","posh brown"
"511","wavy purple","4","striped indigo"
"512","wavy purple","5","striped crimson"
"513","dark teal","2","dim coral"
"514","dark teal","5","dim fuchsia"
"515","drab blue","5","dim indigo"
"516","faded gray","5","dull brown"
"517","faded gray","5","mirrored brown"
"518","faded gray","3","shiny magenta"
"519","faded gray","5","dotted violet"
"520","faded violet","3","wavy purple"
"521","faded violet","2","light maroon"
"522","pale brown","5","clear red"
"523","pale brown","2","plaid chartreuse"
"524","faded white","2","drab maroon"
"525","faded white","2","shiny tomato"
"526","posh brown","0","no other"
"527","dotted olive","3","pale teal"
"528","dotted olive","1","bright purple"
"529","mirrored fuchsia","1","dull maroon"
"530","mirrored fuchsia","5","dull green"
"531","dark orange","5","striped lavender"
"532","dark orange","1","posh black"
"533","dark orange","1","dark purple"
"534","pale fuchsia","5","plaid fuchsia"
"535","pale fuchsia","1","dull lime"
"536","pale fuchsia","4","pale bronze"
"537","pale fuchsia","2","bright cyan"
"538","light brown","5","vibrant bronze"
"539","faded bronze","4","dim silver"
"540","vibrant chartreuse","5","shiny gray"
"541","vibrant chartreuse","5","muted lavender"
"542","vibrant chartreuse","3","posh fuchsia"
"543","dim teal","4","clear red"
"544","dim teal","2","faded silver"
"545","dim teal","1","muted blue"
"546","dim teal","5","wavy yellow"
"547","dotted chartreuse","4","striped fuchsia"
"548","dotted chartreuse","3","bright lavender"
"549","dotted chartreuse","3","vibrant blue"
"550","dotted chartreuse","4","mirrored maroon"
"551","dark purple","2","posh black"
"552","mirrored olive","3","dotted brown"
"553","shiny yellow","4","mirrored maroon"
"554","shiny yellow","3","dark plum"
"555","shiny yellow","5","muted green"
"556","shiny yellow","2","clear aqua"
"557","drab turquoise","3","dim coral"
"558","drab turquoise","3","dark chartreuse"
"559","striped orange","4","striped lime"
"560","striped orange","1","dim tan"
"561","striped orange","3","dull yellow"
"562","striped orange","2","vibrant cyan"
"563","dull turquoise","3","clear purple"
"564","muted fuchsia","2","wavy tomato"
"565","muted fuchsia","5","dark maroon"
"566","muted fuchsia","3","muted tomato"
"567","muted fuchsia","4","vibrant plum"
"568","faded coral","0","no other"
"569","bright red","1","dull crimson"
"570","bright red","5","shiny teal"
"571","bright red","4","shiny gold"
"572","bright purple","4","plaid indigo"
"573","bright purple","5","vibrant maroon"
"574","bright purple","2","dim red"
"575","light plum","3","drab aqua"
"576","light plum","5","shiny tomato"
"577","light plum","4","drab violet"
"578","faded orange","2","shiny teal"
"579","faded orange","5","striped gray"
"580","faded orange","2","dull lavender"
"581","faded orange","4","bright green"
"582","drab white","1","bright orange"
"583","drab white","5","drab lime"
"584","drab white","5","drab plum"
"585","posh lime","3","faded chartreuse"
"586","vibrant bronze","3","dim green"
"587","vibrant bronze","1","clear gold"
"588","vibrant bronze","4","striped bronze"
"589","vibrant bronze","4","pale chartreuse"
"590","dark olive","5","dim purple"
"591","dark olive","5","mirrored maroon"
"592","striped plum","1","posh brown"
"593","striped plum","2","muted cyan"
"594","striped plum","3","faded yellow"
"595","striped plum","2","wavy plum"
"596","plaid tan","2","mirrored lavender"
"597","plaid tan","2","striped silver"
"598","pale chartreuse","5","clear beige"
"599","pale chartreuse","5","clear maroon"
"600","pale chartreuse","4","wavy red"
"601","pale chartreuse","5","dotted tan"
"602","vibrant teal","3","bright violet"
"603","vibrant silver","1","shiny teal"
"604","vibrant silver","2","pale purple"
"605","vibrant silver","5","dark lime"
"606","wavy orange","5","bright bronze"
"607","wavy orange","4","vibrant aqua"
"608","wavy orange","3","pale indigo"
"609","wavy orange","3","muted beige"
"610","plaid tomato","3","faded teal"
"611","plaid tomato","1","dull green"
"612","muted purple","1","muted lavender"
"613","muted purple","5","light black"
"614","light red","3","posh green"
"615","light red","2","striped purple"
"616","light red","1","pale purple"
"617","shiny magenta","4","muted silver"
"618","shiny magenta","3","drab turquoise"
"619","shiny magenta","2","pale turquoise"
"620","light tan","5","bright green"
"621","clear fuchsia","5","faded coral"
"622","clear fuchsia","2","drab plum"
"623","clear fuchsia","2","clear beige"
"624","clear fuchsia","1","pale teal"
"625","vibrant aqua","3","dim red"
"626","posh tomato","5","wavy magenta"
"627","drab plum","3","clear salmon"
"628","drab plum","5","mirrored teal"
"629","drab plum","4","striped aqua"
"630","pale lavender","4","clear black"
"631","pale lavender","4","wavy green"
"632","drab beige","3","pale teal"
"633","drab beige","5","mirrored aqua"
"634","drab beige","4","posh beige"
"635","shiny aqua","3","striped black"
"636","shiny aqua","4","striped blue"
"637","shiny aqua","4","light salmon"
"638","shiny aqua","5","striped crimson"
"639","dull white","2","faded brown"
"640","dull white","3","drab maroon"
"641","dull white","5","striped olive"
"642","dull white","1","bright fuchsia"
"643","vibrant gold","5","dotted aqua"
"644","dim turquoise","2","mirrored turquoise"
"645","dim turquoise","4","dark tomato"
"646","dim turquoise","4","clear lime"
"647","drab silver","3","drab plum"
"648","plaid plum","3","shiny gold"
"649","plaid plum","1","wavy red"
"650","plaid plum","1","plaid bronze"
"651","plaid plum","5","vibrant magenta"
"652","wavy gray","2","dim plum"
"653","wavy gray","4","light red"
"654","wavy gray","3","wavy orange"
"655","wavy gray","5","muted indigo"
"656","mirrored plum","4","dotted violet"
"657","mirrored plum","1","dim maroon"
"658","muted crimson","4","mirrored teal"
"659","muted crimson","4","faded yellow"
"660","muted crimson","5","striped aqua"
"661","clear plum","1","dark indigo"
"662","clear plum","3","shiny gold"
"663","clear plum","2","dim gray"
"664","dull gray","5","striped bronze"
"665","dull gray","5","plaid magenta"
"666","dull gray","3","muted orange"
"667","plaid violet","3","dotted yellow"
"668","plaid violet","1","dotted aqua"
"669","plaid violet","5","clear orange"
"670","light beige","4","dim tomato"
"671","light beige","1","pale yellow"
"672","light beige","3","faded beige"
"673","light beige","3","dim yellow"
"674","plaid olive","5","shiny tan"
"675","faded fuchsia","4","wavy maroon"
"676","bright crimson","5","bright orange"
"677","drab chartreuse","4","drab red"
"678","dotted plum","5","striped blue"
"679","dotted plum","5","light gold"
"680","dotted plum","4","vibrant teal"
"681","muted plum","5","faded white"
"682","muted plum","5","striped brown"
"683","muted plum","1","posh brown"
"684","muted plum","5","drab maroon"
"685","bright turquoise","2","dull indigo"
"686","bright turquoise","2","mirrored tan"
"687","bright turquoise","5","clear tomato"
"688","drab violet","3","clear black"
"689","drab violet","2","mirrored teal"
"690","drab violet","5","faded yellow"
"691","drab violet","4","vibrant magenta"
"692","dotted blue","3","posh black"
"693","light silver","5","bright tan"
"694","light silver","1","dull silver"
"695","light silver","5","posh magenta"
"696","light silver","5","pale chartreuse"
"697","drab indigo","1","dark purple"
"698","drab indigo","1","pale magenta"
"699","pale teal","5","striped black"
"700","pale teal","1","faded cyan"
"701","shiny coral","1","mirrored lavender"
"702","shiny coral","5","mirrored bronze"
"703","shiny coral","1","bright violet"
"704","shiny maroon","3","mirrored teal"
"705","shiny maroon","4","light bronze"
"706","shiny maroon","5","plaid yellow"
"707","dim indigo","4","clear salmon"
"708","dim indigo","1","pale gray"
"709","dim indigo","5","posh purple"
"710","dotted purple","5","shiny tan"
"711","dotted purple","4","posh indigo"
"712","dotted purple","2","light maroon"
"713","dotted purple","4","plaid plum"
"714","pale indigo","2","dark orange"
"715","pale indigo","3","bright chartreuse"
"716","pale indigo","5","pale purple"
"717","striped salmon","3","drab red"
"718","striped salmon","1","light silver"
"719","dim tan","5","muted silver"
"720","dim tan","5","dull tomato"
"721","dim tan","2","dull violet"
"722","striped cyan","3","striped green"
"723","striped cyan","4","muted cyan"
"724","striped cyan","5","wavy beige"
"725","posh gold","3","dotted aqua"
"726","drab magenta","1","dim olive"
"727","dull maroon","2","dotted gray"
"728","drab lavender","2","dark tomato"
"729","drab gray","5","faded plum"
"730","drab gray","2","faded turquoise"
"731","drab gray","3","shiny purple"
"732","drab bronze","3","shiny indigo"
"733","drab bronze","2","dull silver"
"734","drab bronze","1","pale indigo"
"735","dark gold","1","striped bronze"
"736","dark gold","3","shiny gold"
"737","dark gold","4","striped purple"
"738","dark gold","2","wavy green"
"739","mirrored bronze","3","clear maroon"
"740","mirrored bronze","2","striped plum"
"741","mirrored bronze","1","vibrant plum"
"742","mirrored bronze","5","mirrored aqua"
"743","clear purple","2","dim maroon"
"744","bright blue","1","vibrant aqua"
"745","striped tan","3","clear beige"
"746","striped tan","5","bright chartreuse"
"747","striped tan","5","shiny beige"
"748","plaid blue","4","wavy red"
"749","plaid blue","3","clear salmon"
"750","plaid blue","2","striped black"
"751","plaid blue","2","drab aqua"
"752","striped coral","2","shiny aqua"
"753","striped coral","5","light aqua"
"754","pale yellow","3","clear aqua"
"755","pale yellow","4","shiny indigo"
"756","pale yellow","2","dim purple"
"757","wavy black","5","light gray"
"758","wavy black","5","dim green"
"759","wavy black","4","muted cyan"
"760","shiny beige","5","faded coral"
"761","shiny beige","1","muted cyan"
"762","shiny beige","2","dark aqua"
"763","shiny beige","4","posh black"
"764","mirrored red","3","striped blue"
"765","mirrored red","4","bright yellow"
"766","plaid chartreuse","5","dotted coral"
"767","dark white","3","wavy white"
"768","dark white","4","bright violet"
"769","dark white","5","drab bronze"
"770","drab lime","4","striped silver"
"771","drab lime","5","dim black"
"772","drab lime","1","posh teal"
"773","clear magenta","3","dark tomato"
"774","clear magenta","5","drab silver"
"775","clear magenta","2","shiny indigo"
"776","clear magenta","3","mirrored silver"
"777","plaid white","5","dotted green"
"778","plaid white","2","light silver"
"779","plaid white","3","plaid lavender"
"780","plaid white","1","posh purple"
"781","shiny indigo","2","drab orange"
"782","faded green","3","muted cyan"
"783","faded green","5","posh orange"
"784","faded green","3","plaid plum"
"785","striped bronze","2","light plum"
"786","striped bronze","3","shiny teal"
"787","striped bronze","4","posh black"
"788","pale olive","5","striped gray"
"789","pale olive","3","striped lime"
"790","dim orange","4","mirrored maroon"
"791","dim orange","2","mirrored teal"
"792","dim orange","4","dim green"
"793","dim orange","2","muted green"
